Название;Код товара;Цена;Напряжение аккумулятора;Max крутящий момент;Max диаметр сверления (металл);Max диаметр сверления (дерево);Вес;Емкость аккумулятора;Режимы работы;Тип двигателя;Класс товара;Число оборотов на холостом ходу (первая скорость) (max);Число оборотов на холостом ходу (вторая скорость) (max);Число оборотов на холостом ходу (первая скорость) (min);Число оборотов на холостом ходу (вторая скорость) (min);Размер зажимаемой оснастки (min)
Дрель-шуруповерт аккумуляторная STANLEY SBH20D2K ударная, бесщеточная [SBH20D2K-RU];138526;16341.0;18.0;55.0;13;35;1.54;2.0;Сверление/сверлениесударом;бесщеточный;бытовой;430;1700;430;1700;1.5
Аккумуляторный шуруповерт STANLEY SCH201D2K ударная [SCH201D2K-RU];101772;10604.0;18.0;45.0;;38;1.3;2.0;Сверление/сверлениесударом;щеточный;бытовой;350;1500;350;1500;1.5
Дрель-шуруповерт аккумуляторная MAKITA DHP486Z без АКБ и ЗУ;196638;21990.0;18.0;160.0;13;;2.3;;Сверление/заворачивание/сверлениесударом;бесщеточный;профессиональный;550;2100;550;2100;1.3
Шуруповерт аккумуляторный MAKITA DTD 156 Z ударный, бесщеточный, без АКБ и ЗУ [DTD156Z];194967;5949.0;18.0;155.0;;;1.3;;Сверление/заворачивание/сверлениесударом;щеточный;профессиональный;2500;;2500;;
Аккумуляторная дрель-шуруповерт DeWALT DCD776S2 ударная [DCD776S2-KS];101525;14850.0;18.0;42.0;13;30;1.72;1.5;Сверление/сверлениесударом;щеточный;профессиональный;450;1500;450;1500;1.5
Аккумуляторный шуруповерт METABO PowerMaxx BS 12 2х2.0 Ач [601036500];134760;12155.0;12.0;40.0;10;18;1.0;2.0;Сверление;щеточный;;360;1400;360;1400;1.0
Аккумуляторная дрель-шуруповерт MAKITA DDF 484 RME [DDF484RME];111732;35990.0;18.0;54.0;13;38;1.5;4.0;Сверление;бесщеточный;профессиональный;500;2000;500;2000;1.5
Аккумуляторный шуруповерт MAKITA DHP 482 Z ударная без АКБ и З/У [DHP482Z];112139;7790.0;18.0;62.0;13;36;1.8;;Сверление/сверлениесударом;щеточный;профессиональный;600;1900;600;1900;1.5
Аккумуляторная дрель-шуруповерт MAKITA DHP 458 Z без АКБ и ЗУ [DHP458Z];140392;12799.0;18.0;84.0;13;76;2.2;;Сверление/сверлениесударом;щеточный;профессиональный;400;2000;400;2000;1.5
Аккумуляторный шуруповерт METABO BS 18 2x1,5 Ач [602207550];141105;13519.0;18.0;48.0;10;20;1.3;1.5;Сверление;щеточный;;450;1600;450;1600;1.0
Дрель-шуруповерт аккумуляторная METABO BS 18 2x1,5 Ач [602207950];141105;13361.0;18.0;48.0;10;20;1.3;1.5;Сверление;щеточный;;450;1600;450;1600;1.0
Аккумуляторный шуруповерт DeWALT DCD991P2 [DCD991P2-QW];101520;51499.0;18.0;95.0;15;55;2.08;5.0;Сверление;бесщеточный;профессиональный;450;1300;450;1300;1.5
Аккумуляторная дрель-шуруповерт STANLEY STDC18LHBK ударная [STDC18LHBK-RU];92806;14135.0;18.0;51.0;13;38;1.3;2.0;Сверление/сверлениесударом;щеточный;бытовой;400;1600;400;1600;1.5
Дрель-шуруповерт аккумуляторная METABO BS 18 L BL Quick 2x2.0 Ач, бесщеточная [602327500];134801;23586.0;18.0;60.0;13;32;1.2;2.0;Сверление;бесщеточный;;500;1850;500;1850;1.5
Дрель-шуруповерт аккумуляторная INGCO CIDLI20608 беcщеточная ударная;229880;12590.0;20.0;60.0;13;38;1.54;2.0;;бесщеточный;;450;1900;;;2.0
Дрель-шуруповерт аккумуляторная MAKITA DDF 485 RF 1х3.0 Ач [DDF485RF];172922;19650.0;18.0;50.0;13;36;1.7;3.0;Сверление;бесщеточный;профессиональный;500;1900;500;1900;1.0
Отвертка аккумуляторная ЗУБР ЗО-4 КН33;215114;3980.0;3.6;5.0;;;0.28;1.5;Заворачиваниешурупов;бесщеточный;;;;;;
Аккумуляторный шуруповерт MAKITA DDF 485 RFE [DDF485RFE];131120;19200.0;18.0;50.0;13;36;1.7;3.0;Сверление;бесщеточный;профессиональный;500;1900;500;1900;1.0
Дрель-шуруповерт аккумуляторная METABO BS 18 LT BL 2x4,0 Ач, бесщеточная [602325800];131522;33817.0;18.0;75.0;13;38;1.7;4.0;Сверление;бесщеточный;;600;2100;600;2100;1.5
Аккумуляторная дрель-шуруповерт PATRIOT BR 201 UES-h ударная [180201205];145476;6990.0;20.0;30.0;;;;2.0;Сверление/сверлениесударом;щеточный;бытовой;;;;;0.8
Дрель-шуруповерт аккумуляторная BOSCH GSB 18 V-50 ударная, без АКБ и ЗУ [06019H5102];152390;11099.0;18.0;50.0;13;35;1.1;;Сверление/сверлениесударом;бесщеточный;;460;1800;460;1800;1.5
Дрель-шуруповерт аккумуляторная MAKITA DDF 486 Z без АКБ и ЗУ [DDF486Z];196633;19990.0;18.0;130.0;13;76;2.3;;Сверление/заворачивание;бесщеточный;профессиональный;550;2100;550;2100;1.3
Аккумуляторный шуруповерт DeWALT DCD796Р2 ударная, бесщеточная [DCD796P2-QW];101523;43700.0;18.0;70.0;13;40;1.8;5.0;Сверление/сверлениесударом;бесщеточный;профессиональный;550;2000;550;2000;1.5
Аккумуляторная дрель-шуруповерт METABO BS 18 L Quick 2x2.0 Ач [602320500];114137;19102.0;18.0;50.0;10;20;1.6;2.0;Сверление;щеточный;;450;1800;450;1800;1.5
Дрель-шуруповерт аккумуляторная ZITREK Green 12-Li [063-4072];169043;2260.0;12.0;32.0;10;25;1.25;1.5;Сверление;щеточный;бытовой;600;1400;600;1400;0.8
Аккумуляторная дрель-шуруповерт METABO BS 18 LT BL 2x2.0 Ач, бесщеточная [602325550];100450;26226.0;18.0;75.0;13;38;1.6;;Сверление;бесщеточный;;600;2100;600;2100;1.5
Аккумуляторная дрель-шуруповерт BOSCH GSR 12V-15 FC Set [06019F6000];108173;22940.0;12.0;30.0;10;30;0.8;2.0;Сверление;щеточный;;400;1300;400;1300;0.8
Аккумуляторный шуруповерт ELITECH ДА 18 УБЛ2 ударная (2,0А.ч.) [191608];140946;13990.0;18.0;75.0;13;32;1.9;2.0;Сверление/сверлениесударом;бесщеточный;бытовой;500;2000;500;2000;0.8
Дрель-шуруповерт аккумуляторная MAKITA DHP 487 Z без АКБ и ЗУ [DHP487Z];216569;11990.0;18.0;40.0;13;36;1.6;;Сверление/сверлениесударом;бесщеточный;профессиональный;500;1700;500;1700;1.5
Дрель-шуруповерт аккумуляторная MAKITA DTD157Z без АКБ и ЗУ;231198;10490.0;18.0;140.0;;;1.4;;Сверление/сверлениесударом;бесщеточный;профессиональный;3000;;1300;;
Аккумуляторный шуруповерт DeWALT DCD796D2 ударная [DCD796D2-QW];101528;34300.0;18.0;70.0;13;40;1.88;2.0;Сверление/сверлениесударом;бесщеточный;профессиональный;550;2000;550;2000;1.5
Аккумуляторный шуруповерт MAKITA HP457DWE ударный;107021;12729.0;18.0;42.0;13;36;1.7;1.3;Сверление/сверлениесударом;щеточный;профессиональный;400;1400;400;1400;1.3
Дрель-шуруповерт аккумуляторная STURM CD3314LP;168698;6890.0;14.4;28.0;10;20;1.02;2.0;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная MAKITA DTD 156 RFE [DTD156RFE];196740;26336.0;18.0;155.0;;;1.3;3.0;Сверление/сверлениесударом;щеточный;профессиональный;2500;;2500;;
Отвертка аккумуляторная HOTO QWLSD010 графит. с набором бит 25шт.;230073;2690.0;3.6;3.0;;;0.3;0.35;;;;;;;;
Дрель-шуруповерт аккумуляторная DeWALT DCF 887 NT ударный, бесщеточный, без АКБ и ЗУ [DCF887NT-XJ];245270;17390.0;18.0;205.0;;;0.94;;Заворачиваниешурупов;бесщеточный;профессиональный;3250;;3250;;
Аккумуляторный шуруповерт DeWALT DCF 815 D2 ударная [DCF815D2-QW];87986;29886.0;12.0;107.0;;;1.4;2.0;Заворачиваниешурупов;щеточный;профессиональный;2450;;2450;;
Аккумуляторный шуруповерт PATRIOT BR 180Li [180301540];109808;7890.0;18.0;44.0;10;25;1.3;1.5;Сверление;щеточный;бытовой;400;1100;400;1100;0.8
Аккумуляторная дрель-шуруповерт MAKITA DDF 453 SYX4 [DDF453SYX4];131113;13990.0;18.0;42.0;13;36;1.8;1.5;Сверление;щеточный;профессиональный;400;1300;400;1300;1.0
Дрель-шуруповерт аккумуляторная BOSCH GSR 12V-35 HX бесщеточная, без АКБ и ЗУ [06019J9102];180052;13206.0;12.0;35.0;10;32;0.57;;Заворачиваниешурупов;бесщеточный;;460;1750;460;1750;
Дрель-шуруповерт аккумуляторная DeWALT DCD 703 L2T бесщеточная [DCD703L2T-QW];193148;33270.0;12.0;57.5;20;10;0.73;;;бесщеточный;;425;1500;425;1500;1.0
Дрель-шуруповерт аккумуляторная DEKO DKCID20 BMC 2*3,0Ah ударная [063-4421];235267;9832.0;20.0;80.0;13;50;2.75;3000.0;;бесщеточный;;450;2000;;;
Аккумуляторная дрель-шуруповерт MAKITA DDF483Z без АКБ и ЗУ;112102;8802.0;18.0;40.0;13;30;1.5;;Сверление;бесщеточный;профессиональный;500;1700;500;1700;1.3
Аккумуляторный шуруповерт MAKITA TD 111 DZ ударный, бесщеточный, без АКБ и ЗУ [TD111DZ];121993;10290.0;12.0;135.0;;;1.1;;Сверление/заворачивание/сверлениесударом;бесщеточный;профессиональный;1300;3000;1300;3000;
Аккумуляторный шуруповерт MAKITA TD 111 DWAE ударный, бесщеточный [TD111DWAE];121994;21290.0;10.8;135.0;;;1.1;2.0;Сверление/заворачивание/сверлениесударом;бесщеточный;профессиональный;1300;3000;1300;3000;
Аккумуляторная дрель-шуруповерт METABO PowerMaxx SB 12 2x2.0 Ач, ударная [601076500];134762;12969.0;12.0;40.0;10;18;1.1;2.0;Сверление/сверлениесударом;щеточный;;360;1400;360;1400;1.0
Аккумуляторная отвертка HiKOKI DB 3 DL2 [DB3DL2RLZ];146309;9490.0;3.6;5.0;;;0.8;1.5;;щеточный;;;600;;600;
Шуруповерт аккумуляторный HiKOKI WH 36 DB ударный [WH36DBRGZ];182033;32699.0;36.0;210.0;;;1.6;2.5;;;;900;2900;900;2900;
Дрель-шуруповерт аккумуляторная METABO BS 18 LTХ BL i бесщеточная, без АКБ и ЗУ [602358850];100455;23063.0;18.0;130.0;13;65;1.7;;Сверление;бесщеточный;;550;2000;550;2000;1.5
Дрель-шуруповерт аккумуляторная KOLNER KCD 12М [кн12м];211415;2090.0;12.0;14.0;8;14;1.3;1.0;;щеточный;;550;;550;;
Отвертка аккумуляторная ИНТЕРСКОЛ ОА-3.6 [729.1.0.00];215088;1190.0;3.6;3.0;;;0.4;1.5;;;;;;;;
Отвертка аккумуляторная ЗУБР ЗО-4;215198;2440.0;3.6;5.0;5;;0.28;1.5;;;;;;;;
Дрель-шуруповерт аккумуляторная KOLNER KCD 16,8МС [кн16,8мсн];216700;2660.0;16.8;16.0;9;16;3.4;1.2;;щеточный;;550;;550;;
Дрель-шуруповерт аккумуляторная MAKITA DDF 487 Z без АКБ и ЗУ [DDF487Z];217972;9990.0;18.0;40.0;13;36;1.3;;Сверление/заворачивание;бесщеточный;профессиональный;500;1700;500;1700;1.3
Дрель-шуруповерт DeWALT DCD791D2 бесщеточная [DCD791D2-QW];101527;28872.0;18.0;70.0;13;40;1.84;2.0;Сверление;бесщеточный;профессиональный;550;2000;550;2000;1.5
Аккумуляторная дрель-шуруповерт MAKITA DF 032 DWAE бесщеточная [DF032DWAE];119525;16999.0;12.0;32.0;10;21;1.0;2.0;Заворачиваниешурупов;бесщеточный;профессиональный;450;1500;450;1500;
Аккумуляторная дрель-шуруповерт MAKITA DF 032 DWME бесщеточная [DF032DWME];125644;21990.0;10.8;32.0;10;21;1.0;4.0;Заворачиваниешурупов;бесщеточный;профессиональный;450;1500;450;1500;
Аккумуляторный шуруповерт BOSCH GSR 18 V-60 C бесщеточная, без АКБ и ЗУ [06019G1102];133438;17655.0;18.0;60.0;13;38;1.5;;Сверление;бесщеточный;;600;1900;600;1900;1.5
Аккумуляторный шуруповерт METABO PowerMaxx BS 12 Quick 2x2.0 Ач [601037500];134763;16792.0;12.0;40.0;10;18;1.1;2.0;Сверление;щеточный;;360;1400;360;1400;1.0
Аккумуляторная дрель-шуруповерт ELITECH ДА 18 СЛ2 без АКБ и ЗУ [191616];140746;2690.0;18.0;45.0;13;32;1.3;;Сверление;щеточный;бытовой;350;1250;350;1250;1.5
Аккумуляторная дрель-шуруповерт BOSCH GSR 12V-35 бесщеточная [06019H8002];142615;23269.0;12.0;35.0;10;32;0.75;3.0;Сверление;бесщеточный;;460;1750;460;1750;1.5
Дрель-шуруповерт аккумуляторная DEKO DKCD12FU-Li Advanced (063-4131) [063-4131];176536;2700.0;12.0;28.0;10;20;1.1;2.0;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная STURM CD3318LPT;168703;5190.0;18.0;31.0;10;20;1.14;2.0;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная STANLEY SCD201D2K [SCD201D2K-RU];177792;9224.0;18.0;45.0;13;25;1.6;2.0;Сверление;щеточный;бытовой;350;1500;350;1500;1.5
Дрель-шуруповерт аккумуляторная MAKITA DDF 485 RFJ [DDF485RFJ];196634;20210.0;18.0;50.0;13;38;1.4;3.0;Сверление/заворачивание;бесщеточный;профессиональный;500;1900;500;1900;1.3
Отвертка аккумуляторная STURM CD3404U2 micro USB, набор бит, без ЗУ;204522;3290.0;3.7;3.0;;;0.64;2.0;;щеточный;;;;;;
Дрель-шуруповерт аккумуляторная СТАВР ДА-10,8/2ЛМ [ст10,8-2лм];211560;4990.0;10.8;22.0;8;18;1.0;2.0;Сверление/заворачивание;щеточный;;350;1250;350;1250;0.8
Дрель-шуруповерт аккумуляторная DWT ABS-14,4 L-2 BMC [5.2.2];206510;6190.0;14.4;25.0;10;28;1.1;1.5;;щеточный;;;;;;0.8
Дрель-шуруповерт аккумуляторная KOLNER KCD 18МС [кн18мс];211427;4590.0;18.0;17.0;10;18;1.6;1.2;;щеточный;;550;;550;;
Отвертка аккумуляторная DEKO DKS-Li + набор бит (11 шт) [065-0661];217144;720.0;6.0;3.5;;;0.29;;;;;;;;;
Аккумуляторная дрель-шуруповерт MAKITA DF457DWLE;107020;11920.0;18.0;42.0;13;36;1.7;1.5;Сверление;щеточный;профессиональный;400;1400;400;1400;1.3
Аккумуляторная дрель-шуруповерт PATRIOT BR 114Li [180201405];109728;4290.0;12.0;25.0;8;16;1.0;1.3;Сверление;щеточный;бытовой;350;1250;350;1250;0.8
Аккумуляторный шуруповерт MAKITA DTD 153 RFE ударный, бесщеточный [DTD153RFE];111553;33490.0;18.0;170.0;;;1.3;;Сверление/заворачивание/сверлениесударом;бесщеточный;профессиональный;3400;;3400;;
Аккумуляторный шуруповерт MAKITA DTS 141 Z ударный, бесщеточный, без АКБ и ЗУ [DTS141Z];111559;32020.0;18.0;40.0;;;1.2;4.0;Сверление/заворачивание/сверлениесударом;бесщеточный;профессиональный;1200;2000;1200;2000;
Аккумуляторный шуруповерт MAKITA DHP 483 Z ударная без АКБ и З/У [DHP483Z];112140;9170.0;18.0;40.0;13;36;1.3;;Сверление/сверлениесударом;бесщеточный;профессиональный;500;1700;500;1700;1.5
Аккумуляторная дрель-шуруповерт HiKOKI DS 14D BL2 с бесщеточным двигателем [DS14DBL2RJZ];146286;26500.0;14.4;110.0;13;50;2.3;5.0;Сверление;бесщеточный;профессиональный;350;1600;350;1600;1.5
Дрель-шуруповерт аккумуляторная STURM CD3314LPT;168699;4890.0;14.4;28.0;10;20;1.02;2.0;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная STURM CD3224LT;168710;5850.0;24.0;35.0;10;20;1.23;2.0;Сверление;щеточный;бытовой;450;1650;450;1650;0.8
Дрель-шуруповерт аккумуляторная STURM CD3620;189835;9490.0;20.0;31.0;10;20;2.98;2.0;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная MAKITA DF001GD201;197248;57865.0;40.0;140.0;20;36;2.4;2.5;Сверление/заворачивание;бесщеточный;профессиональный;650;2600;650;2600;1.3
Дрель-шуруповерт аккумуляторная ELITECH ДА 18БЛ2 [198041];202154;5490.0;18.0;60.0;13;32;0.9;;Сверление;бесщеточный;бытовой;500;2000;500;2000;2.0
Отвертка аккумуляторная BOSCH IXO Full c угловой и эксцентриковой насадками [06039A8022] Подарочный кейс, 2 насадки;59389;6994.0;3.6;4.5;;;0.3;1.3;;;;215;;;;
Аккумуляторная дрель-шуруповерт METABO BS 18 LTХ Impuls без АКБ и ЗУ [602191890];91490;20381.0;18.0;110.0;13;65;2.0;;Сверление;щеточный;;500;1700;500;1700;1.5
Аккумуляторный шуруповерт METABO BS 18 LT BL бесщеточная, без АКБ и ЗУ [602325890];100444;17686.0;18.0;75.0;13;38;1.6;;Сверление;бесщеточный;;600;2100;600;2100;1.5
Аккумуляторная дрель-шуруповерт MAKITA DFS452Z бесщеточная, без АКБ и ЗУ;107018;19720.0;18.0;;;;1.5;;Заворачиваниешурупов;бесщеточный;профессиональный;4000;;4000;;
Аккумуляторный шуруповерт BOSCH GTB 12V-11 без АКБ и ЗУ [06019E4002];114150;13583.0;12.0;11.0;;;0.9;;Заворачиваниешурупов;бесщеточный;;;3000;;300;
Аккумуляторная дрель-шуруповерт MAKITA DHP 483 SYE ударная, бесщеточная [DHP483SYE];123028;21651.0;18.0;40.0;13;36;1.3;1.5;Сверление/сверлениесударом;бесщеточный;профессиональный;500;1700;500;1700;1.5
Аккумуляторный шуруповерт BOSCH GSR 18 V-60 FC GFA 18-M [06019G7101] 2х5,0 Ач;126492;44420.0;18.0;60.0;10;38;1.7;5.0;Заворачиваниешурупов;бесщеточный;;600;1900;600;1900;
Аккумуляторная дрель-шуруповерт BOSCH GSR 18 V-60 FC GFA 18-M [06019G7100] 2х5,0 Ач, набор насадок;126492;68690.0;18.0;60.0;10;38;1.7;5.0;Заворачиваниешурупов;бесщеточный;;600;1900;600;1900;
Аккумуляторная дрель-шуруповерт DEKO DKCD16FU-Li 1.5Ahx2 63 tools (063-4099) [063-4099];146551;5240.0;16.0;32.0;10;25;2.2;1.5;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Аккумуляторный шуруповерт HYUNDAI A 1810Li;146647;4390.0;18.0;18.0;10;26;1.6;1.5;Сверление;щеточный;бытовой;550;;550;;1.0
Аккумуляторный шуруповерт PATRIOT BR 141ES [180201141];152205;5990.0;14.4;27.0;6;18;2.3;2.0;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Отвертка аккумуляторная BOSCH GO 2 [06019H2100];152387;5068.0;3.6;5.0;;;0.31;;;;;360;;360;;
Дрель-шуруповерт аккумуляторная DEKO DKCD20FU-Li + набор инструмента 63 (063-4093) [063-4093];169031;4874.0;20.0;42.0;10;28;2.25;1.5;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная HiKOKI DV 36 DA [DV36DARGZ];182029;36499.0;36.0;136.0;16;102;2.7;2.5;;;профессиональный;500;2100;500;2100;1.5
Дрель-шуруповерт METABO BS 14.4 1х2,0 Ач, патрон 10 мм [602206510];189903;9971.0;14.4;40.0;10;20;1.2;2.0;Сверление;щеточный;;400;1500;;;1.0
Дрель-шуруповерт аккумуляторная MAKITA 8444 DWFЕ ударная [145420];33189;18030.0;18.0;80.0;13;65;2.7;3.0;Сверление/сверлениесударом;щеточный;профессиональный;300;600;300;600;1.3
Аккумуляторная дрель-шуруповерт HITACHI DV18DBL ударная [DS18DL];33951;18751.0;18.0;;;;2.1;3.0;Сверление/сверлениесударом;;;1000;1300;1000;1300;1.3
Аккумуляторный шуруповерт BOSCH GSB 36 VE-2-LI ударная [06019C1100] 2х4,0 Ач, L-Boxx;19769;58938.0;36.0;100.0;16;50;8.38;4.0;Сверление/сверлениесударом;щеточный;;450;1500;450;1500;1.5
Отвертка аккумуляторная BOSCH GSR MX2DRIV [06019A2101] 2х1,3Ач;64395;6982.0;3.6;10.0;;;0.5;1.3;;;;150;580;150;580;
Аккумуляторная дрель-шуруповерт METABO BS 18 LTX Quick 2x4,0 Ач [602193500];84371;50023.0;18.0;110.0;13;65;2.0;4.0;Сверление;щеточный;;400;1700;400;1700;1.5
Аккумуляторный шуруповерт METABO BS 18 LTX Quick 2x5,2 Ач [602193650];84475;56082.0;18.0;110.0;13;65;2.0;5.2;Сверление;щеточный;;500;1700;500;1700;1.5
Дрель-шуруповерт аккумуляторная MAKITA BDF 446 RFE [168257];78446;17270.0;14.4;44.0;;;1.7;3.0;Сверление;щеточный;профессиональный;400;1500;400;1500;1.5
Аккумуляторный шуруповерт METABO PowerMaxx BS без АКБ и ЗУ [600079890];85755;5699.0;12.0;34.0;10;22;0.9;;Сверление;щеточный;профессиональный;360;1400;360;1400;1.3
Аккумуляторная дрель-шуруповерт METABO PowerMaxx BS 1х2,0 Ач [600079500];85756;8379.0;12.0;34.0;10;22;0.9;2.0;Сверление;;профессиональный;360;1400;360;1400;1.3
Дрель-шуруповерт аккумуляторная DeWALT DCD 790 M 2 [DCD790M2-QW];86310;36290.0;18.0;60.0;13;38;1.84;4.0;Сверление;;;600;2000;600;2000;1.3
Аккумуляторная дрель-шуруповерт METABO BS 18 LT 2x2.0 Ач [602102530];91481;23077.0;18.0;60.0;13;38;1.6;2.0;Сверление;щеточный;;450;1600;450;1600;1.5
Аккумуляторный шуруповерт METABO BS 18 LT Quick 2x4.0 Ач [602104500];91482;41133.0;18.0;60.0;13;38;1.6;4.0;Сверление;щеточный;;450;1600;450;1600;1.5
Аккумуляторная дрель-шуруповерт METABO BS 18 LT 2x4.0 Ач [602102500];91483;30544.0;18.0;60.0;13;38;1.6;4.0;Сверление;щеточный;;450;1600;450;1600;1.5
Аккумуляторный шуруповерт METABO BS 18 LT 2x5.2 Ач [602102650];91484;37627.0;18.0;60.0;13;38;1.6;5.2;Сверление;щеточный;;450;1600;450;1600;1.5
Аккумуляторный шуруповерт METABO BS 18 LT без АКБ и ЗУ [602102890];91485;15582.0;18.0;60.0;13;38;1.6;;Сверление;щеточный;;450;1600;450;1600;1.5
Аккумуляторная дрель-шуруповерт METABO BS 18 LTХ Impuls 2x5.2 Ач [602191650];91487;47074.0;18.0;110.0;13;65;2.0;5.2;Сверление;щеточный;;500;1700;500;1700;1.5
Аккумуляторная дрель-шуруповерт METABO SB 18 LTX Impuls ударная, без АКБ и ЗУ [602192890];91492;24823.0;18.0;110.0;13;65;2.1;;Сверление/сверлениесударом;щеточный;;500;1700;500;1700;1.5
Аккумуляторная дрель-шуруповерт METABO SB 18 LT 2x2.0 Ач, ударная [602103510];91495;26873.0;18.0;60.0;13;38;2.1;2.0;Сверление/сверлениесударом;щеточный;;400;1400;400;1400;1.5
Аккумуляторная дрель-шуруповерт METABO SB 18 LT 2x4.0 Ач, ударная [602103500];91496;34876.0;18.0;60.0;13;38;2.1;4.0;Сверление/сверлениесударом;щеточный;;400;1400;400;1400;1.5
Аккумуляторный шуруповерт METABO BS 18 Quick 2x2,0 Ач, патрон 10 мм [602217500];91552;18484.0;18.0;48.0;10;20;1.3;2.0;Сверление;щеточный;;450;1650;450;1650;0.8
Аккумуляторная дрель-шуруповерт BOSCH GSR 12V-20 HX (10,8 V-EC) бесщеточная, без АКБ и ЗУ [06019D4102];93454;7808.0;12.0;30.0;10;30;0.7;;Заворачиваниешурупов;бесщеточный;;400;1300;400;1300;
Аккумуляторная дрель-шуруповерт BOSCH GSB 12V-15 (10,8-2-LI) ударная, без АКБ и ЗУ [06019B6901];93457;5426.0;12.0;30.0;10;19;1.0;;Сверление/сверлениесударом;щеточный;;380;1300;380;1300;1.0
Аккумуляторная дрель-шуруповерт BOSCH GSR 18 V-EC TE [06019C8007] 2х5,0 Ач, L-Boxx;93469;42890.0;18.0;25.0;;;1.9;5.0;Заворачиваниешурупов;бесщеточный;;4200;;4200;;
Аккумуляторная дрель-шуруповерт BOSCH GSR 18 V-EС без АКБ и ЗУ [06019E8100] вкладыш для L-Boxx;93472;9779.0;18.0;50.0;13;50;1.9;;Сверление;;;500;1700;500;1700;1.3
Дрель-шуруповерт аккумуляторная MAKITA DDF 446 RFE [179849];93557;18260.0;14.4;44.0;;;1.7;3.0;Сверление;щеточный;профессиональный;400;1500;400;1500;1.5
Аккумуляторный шуруповерт MAKITA DDF 481 RTE [DDF481RTE];93897;37090.0;18.0;115.0;13;76;2.6;5.0;Сверление;бесщеточный;профессиональный;550;2100;550;2100;1.3
Аккумуляторный шуруповерт MAKITA DFS451Z без АКБ и ЗУ;93898;11920.0;18.0;;;;1.7;;Заворачиваниешурупов;щеточный;профессиональный;4000;;4000;;
Аккумуляторный шуруповерт METABO SE 18 LTX 4000 2x2.0 Ач. [620048500];94056;42399.0;18.0;7.0;;;1.3;2.0;Заворачиваниешурупов;щеточный;;4000;;4000;;
Аккумуляторная дрель-шуруповерт METABO SE 18 LTX 6000 2x2.0 Ач. [620049500];94058;39332.0;18.0;5.0;;;1.3;2.0;Заворачиваниешурупов;щеточный;;6000;;6000;;
Аккумуляторный шуруповерт METABO SE 18 LTX 2500 без АКБ и ЗУ [620047890];94059;22307.0;18.0;9.0;;;1.4;;Заворачиваниешурупов;щеточный;;2500;;2500;;
Аккумуляторная дрель-шуруповерт METABO SE 18 LTX 4000 без АКБ и ЗУ [620048890];94060;20698.0;18.0;7.0;;;1.3;;Заворачиваниешурупов;щеточный;;4000;;4000;;
Аккумуляторный шуруповерт METABO SE 18 LTX 6000 без АКБ и ЗУ [620049890];94061;20148.0;18.0;5.0;;;1.3;;Заворачиваниешурупов;щеточный;;6000;;6000;;
Аккумуляторный шуруповерт BOSCH GSR 36 VE-2-LI [06019C0100] 2х4,0 Ач;85034;54998.0;36.0;100.0;16;;3.3;4.0;Сверление;щеточный;;420;1800;420;1800;1.5
Аккумуляторная дрель-шуруповерт BOSCH GSR 18 V-EC TE с насадкой MAG 55 [06019C8006] 2х4,0 Ач;95828;55743.0;18.0;25.0;;;1.9;4.0;Заворачиваниешурупов;бесщеточный;;4200;;4200;;
Аккумуляторная дрель-шуруповерт METABO BS 18 2x2,0 Ач, с набором оснастки [602207880];96502;21454.0;18.0;48.0;10;38;1.3;2.0;Сверление;щеточный;;450;1600;450;1600;1.5
Аккумуляторный шуруповерт METABO BS 18 Quick 2x2,0 Ач, с набором оснастки [602217880];96507;25277.0;18.0;48.0;10;20;1.3;2.0;Сверление;щеточный;;450;1650;450;1650;1.5
Аккумуляторный шуруповерт MAKITA DFR750RFE магазинный;97836;36700.0;18.0;;;;2.3;3.0;Заворачиваниешурупов;щеточный;профессиональный;4000;;4000;;
Аккумуляторный шуруповерт MAKITA DFR550RFE магазинный;97838;36620.0;18.0;;;;2.3;3.0;Заворачиваниешурупов;щеточный;профессиональный;4000;;4000;;
Дрель-шуруповерт аккумуляторная METABO SB 18 2x2,0 Ач, ударная, патрон 13 мм [602245500];98886;8250.0;18.0;48.0;10;20;1.3;2.0;Сверление;щеточный;;400;1500;400;1500;0.5
Аккумуляторная дрель-шуруповерт MAKITA DFS451RFE;99452;27530.0;18.0;60.0;;;1.7;;Заворачиваниешурупов;щеточный;профессиональный;4000;;4000;;
Аккумуляторный шуруповерт MAKITA DTD 152 RME [DTD152RME];99459;21100.0;18.0;165.0;;;1.5;;Сверление/заворачивание/сверлениесударом;щеточный;профессиональный;2900;;2900;;
Аккумуляторная дрель-шуруповерт MAKITA DFR550Z магазинный без АК и ЗУ;99585;19270.0;18.0;;;;2.14;;Заворачиваниешурупов;щеточный;профессиональный;4000;;4000;;
