Название;Код товара;Цена;Напряжение аккумулятора;Max крутящий момент;Max диаметр сверления (металл);Max диаметр сверления (дерево);Вес;Емкость аккумулятора;Режимы работы;Тип двигателя;Класс товара;Число оборотов на холостом ходу (первая скорость) (max);Число оборотов на холостом ходу (вторая скорость) (max);Число оборотов на холостом ходу (первая скорость) (min);Число оборотов на холостом ходу (вторая скорость) (min);Размер зажимаемой оснастки (min)
Дрель-шуруповерт аккумуляторная DeWALT DCD 805 P2T [DCD805P2T-QW];212084;51570.0;18.0;90.0;13;55;1.34;5.0;Сверление/заворачивание/сверлениесударом;бесщеточный;профессиональный;650;2000;650;2000;1.5
Аккумуляторная дрель-шуруповерт ВИХРЬ ДА-12Л-2К [72/14/7];104291;3390.0;12.0;30.0;10;20;0.96;2.0;Сверление;щеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная DeWALT DCD 999 NT без АКБ и ЗУ [DCD999NT-XJ];194374;34051.0;18.0;126.9;13;55;1.7;;Сверление/заворачивание/сверлениесударом;бесщеточный;профессиональный;450;1300;450;1300;1.5
Аккумуляторная дрель-шуруповерт ВИХРЬ ДА-12-2К (Li-ion) [72/14/2];152029;4190.0;12.0;30.0;8;20;1.2;2.0;Сверление;щеточный;бытовой;400;1400;400;1400;0.8
Аккумуляторная дрель-шуруповерт DeWALT DCD 710 D2 [DCD710D2-QW];88534;14433.0;12.0;24.0;10;19;1.1;2.0;Сверление;щеточный;профессиональный;400;1500;400;1500;1.3
Дрель-шуруповерт аккумуляторная DeWALT DCF 601 D2 [DCF601D2-QW];168348;23821.0;12.0;8.0;;;2.85;2.0;Заворачиваниешурупов;бесщеточный;профессиональный;1100;;;;
Дрель-шуруповерт аккумуляторная DEKO Banger 12V SET 1 (063-4129) [063-4129];172899;1490.0;12.0;26.0;10;25;1.02;2.0;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная BOSCH GSR 12V-30 бесщеточная, без АКБ и ЗУ [06019G9002];158701;7921.0;12.0;30.0;10;20;;;Сверление;бесщеточный;;420;1600;420;1600;1.0
Дрель-шуруповерт аккумуляторная DeWALT DCD 805 E2T ударная [DCD805E2T-QW];228577;51570.0;18.0;90.0;13;55;1.3;1.7;Сверление/заворачивание/сверлениесударом;бесщеточный;профессиональный;650;2000;650;2000;1.5
Дрель-шуруповерт аккумуляторная GREENWORKS GD24DD60 ударная, без АКБ и ЗУ (3704107) [3704107];180840;6990.0;24.0;60.0;13;;1.4;;Сверление/сверлениесударом;бесщеточный;бытовой;450;1700;450;1700;1.5
